IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
000435-01012019,01-Jan-19,2019,12:45:31,12,Fire,Primary Fire,,Other Residential,Retirement/Old Persons Home,Correct incident location,E2 0BP,E2,6131950,22701352,E09000030,TOWER HAMLETS,Tower Hamlets,E05009331,ST. PETER'S,ST. PETER'S,534757,182421,534750,182450,51.524635,-0.058905,London,Bethnal Green,174,Bethnal Green,332,Shadwell,2,2,2,1,333,1,01-01-2019 12:45
000440-01012019,01-Jan-19,2019,13:17:46,13,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,N18 1RA,N18,207110676,20703989,E09000010,ENFIELD,Enfield,E05000212,UPPER EDMONTON,UPPER EDMONTON,533213,191807,533250,191850,51.6093469,-0.0775949,London,Edmonton,358,Tottenham,,,1,1,1,1,333,1,01-01-2019 13:17
000446-01012019,01-Jan-19,2019,13:24:51,13,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE13,0,22000637,E09000023,LEWISHAM,Lewisham,E05000448,LEWISHAM CENTRAL,LEWISHAM CENTRAL,,,537850,175850,,,London,Lewisham,229,Greenwich,324,Deptford,3,3,3,1,333,1,01-01-2019 13:24
000466-01012019,01-Jan-19,2019,14:17:38,14,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N4,0,21603379,E09000019,ISLINGTON,Islington,E05000381,TOLLINGTON,TOLLINGTON,,,530550,187650,,,London,Holloway,203,Holloway,254,Hornsey,2,2,2,1,333,1,01-01-2019 14:17
000469-01012019,01-Jan-19,2019,14:25:54,14,Fire,Primary Fire,,Non Residential,Private Summer house ,Correct incident location,,IG1,0,22302949,E09000026,REDBRIDGE,Redbridge,E05011241,CRANBROOK,CRANBROOK,,,543350,187650,,,London,Ilford,386,Ilford,,,1,1,1,2,666,1,01-01-2019 14:25
000472-01012019,01-Jan-19,2019,14:53:56,14,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SW17,0,22905773,E09000032,WANDSWORTH,Wandsworth,E05000616,GRAVENEY,GRAVENEY,,,527750,171350,,,London,Tooting,295,Wimbledon,364,Mitcham,2,2,2,1,333,1,01-01-2019 14:53
000487-01012019,01-Jan-19,2019,15:24:32,15,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,SE1 1LB,SE1,10000818850,22500284,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,532515,179942,532550,179950,51.50289533,-0.092123915,London,Dowgate,219,Dowgate,,,1,1,1,1,333,2,01-01-2019 15:24
000496-01012019,01-Jan-19,2019,15:50:35,15,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,UB3,0,21402139,E09000017,HILLINGDON,Hillingdon,E05000339,TOWNFIELD,TOWNFIELD,,,510050,180950,,,London,Hayes,364,Hillingdon,370,Hillingdon,1,2,2,1,333,2,01-01-2019 15:50
000497-01012019,01-Jan-19,2019,15:51:34,15,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,BR1 2WZ,BR1,1.0002E+11,20300527,E09000006,BROMLEY,Bromley,E05000106,BICKLEY,BICKLEY,542292,169691,542250,169650,51.40840603,0.044515542,London,Bromley,399,Sidcup,,,1,1,1,1,333,1,01-01-2019 15:51
000501-01012019,01-Jan-19,2019,16:02:02,16,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W10,0,8400416,E09000033,WESTMINSTER,Westminster,E05000642,QUEEN'S PARK,QUEEN'S PARK,,,524450,182950,,,London,North Kensington,181,North Kensington,374,West Hampstead,3,4,6,19,6327,27,01-01-2019 16:02
000528-01012019,01-Jan-19,2019,16:09:15,16,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,E17 7AP,E17,10009147369,22879750,E09000031,WALTHAM FOREST,Waltham Forest,E05000599,HIGH STREET,HIGH STREET,536020,188881,536050,188850,51.58238637,-0.038210857,London,Walthamstow,307,Walthamstow,,,1,1,1,1,333,2,01-01-2019 16:09
000559-01012019,01-Jan-19,2019,17:17:22,17,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,E17 7AT,E17,1.00023E+11,22879750,E09000031,WALTHAM FOREST,Waltham Forest,E05000599,HIGH STREET,HIGH STREET,536123,188926,536150,188950,51.58276682,-0.036711346,London,Walthamstow,182,Walthamstow,,,1,1,1,1,333,1,01-01-2019 17:17
000579-01012019,01-Jan-19,2019,18:18:47,18,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,In street outside gazetteer location,E1 3LL,E1,6032365,22701160,E09000030,TOWER HAMLETS,Tower Hamlets,E05009334,STEPNEY GREEN,STEPNEY GREEN,535693,181798,535650,181750,51.51881274,-0.045652544,London,Bethnal Green,287,Bethnal Green,,,1,1,1,1,333,1,01-01-2019 18:18
000583-01012019,01-Jan-19,2019,18:41:47,18,Fire,Secondary Fire,,Outdoor Structure,Refuse/rubbish tip ,In street close to gazetteer location,NW7 1BB,NW7,200144593,20038660,E09000003,BARNET,Barnet,E05000057,MILL HILL,MILL HILL,523892,191633,523850,191650,51.60991309,-0.212177025,London,Mill Hill,427,Finchley,,,1,1,1,1,333,1,01-01-2019 18:41
000589-01012019,01-Jan-19,2019,19:00:40,19,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,BR7 6BN,BR7,10070017395,20302154,E09000006,BROMLEY,Bromley,E05000111,CHISLEHURST,CHISLEHURST,544285,171533,544250,171550,51.42445505,0.07391181,London,Sidcup,433,Eltham,,,1,1,1,1,333,1,01-01-2019 19:00
000603-01012019,01-Jan-19,2019,19:58:09,19,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,SE11 6LY,SE11,1.00022E+11,21900831,E09000022,LAMBETH,Lambeth,E05000416,BISHOP'S,BISHOP'S,531063,179068,531050,179050,51.49537272,-0.11336694,London,Lambeth,137,Lambeth,145,Lambeth,1,2,2,1,333,1,01-01-2019 19:58
000610-01012019,01-Jan-19,2019,20:29:28,20,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street close to gazetteer location,SE15 3NY,SE15,2.00004E+11,22502208,E09000028,SOUTHWARK,Southwark,E05011113,RYE LANE,RYE LANE,534492,175783,534450,175750,51.46504776,-0.065240767,London,Peckham,273,New Cross,,,1,1,1,1,333,3,01-01-2019 20:29
000611-01012019,01-Jan-19,2019,20:30:09,20,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,EN2,0,20702705,E09000010,ENFIELD,Enfield,E05000195,CHASE,CHASE,,,532550,198050,,,London,Enfield,346,Enfield,,,1,1,1,1,333,1,01-01-2019 20:30
000616-01012019,01-Jan-19,2019,20:36:56,20,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,DA17 5BX,DA17,1.00024E+11,20100344,E09000004,BEXLEY,Bexley,E05011218,BELVEDERE,BELVEDERE,549118,178861,549150,178850,51.48904341,0.146457428,London,Erith,232,Erith,,,1,1,1,1,333,1,01-01-2019 20:36
000622-01012019,01-Jan-19,2019,20:52:46,20,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,WC2A 3HP,WC2A,5064180,20401245,E09000007,CAMDEN,Camden,E05000138,HOLBORN AND COVENT GARDEN,HOLBORN AND COVENT GARDEN,530591,181487,530550,181450,51.51722083,-0.119260552,London,Soho,,,,,1,1,1,1,333,1,01-01-2019 20:52
000624-01012019,01-Jan-19,2019,21:08:28,21,Fire,Primary Fire,,Outdoor Structure,Other outdoor equipment/machinery ,Correct incident location,KT4 8PJ,KT4,5870015271,22601298,E09000029,SUTTON,Sutton,E05000572,WORCESTER PARK,WORCESTER PARK,523453,166203,523450,166250,51.3814595,-0.2274163,London,Sutton,364,Sutton,691,Surbiton,2,2,2,3,999,1,01-01-2019 21:08
000625-01012019,01-Jan-19,2019,21:11:56,21,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,NW4 2PN,NW4,10025299611,20035620,E09000003,BARNET,Barnet,E05000062,WEST HENDON,WEST HENDON,523212,188539,523250,188550,51.58225417,-0.223078713,London,Hendon,242,Hendon,,,1,1,1,1,333,1,01-01-2019 21:11
000631-01012019,01-Jan-19,2019,21:28:38,21,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,SW1V 2LZ,SW1V,10033556756,8401601,E09000033,WESTMINSTER,Westminster,E05000645,TACHBROOK,TACHBROOK,529335,178676,529350,178650,51.49224973,-0.138386217,London,Lambeth,298,Lambeth,,,1,1,1,1,333,3,01-01-2019 21:28
000639-01012019,01-Jan-19,2019,21:43:35,21,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,SE9 3AE,SE9,10010243603,20801197,E09000011,GREENWICH,Greenwich,E05000217,COLDHARBOUR AND NEW ELTHAM,COLDHARBOUR AND NEW ELTHAM,542309,172794,542350,172750,51.43628586,0.046006678,London,Eltham,318,Lee Green,509,Bromley,2,2,2,1,333,3,01-01-2019 21:43
000653-01012019,01-Jan-19,2019,22:49:06,22,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,RM13 7TH,RM13,10070704316,21302070,E09000016,HAVERING,Havering,E05000321,SOUTH HORNCHURCH,SOUTH HORNCHURCH,551195,184162,551150,184150,51.53612592,0.178617832,London,Dagenham,481,Dagenham,,,1,1,1,1,333,1,01-01-2019 22:49
000663-01012019,01-Jan-19,2019,23:22:20,23,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,RM3,0,21300988,E09000016,HAVERING,Havering,E05000314,HEATON,HEATON,,,553450,191450,,,London,Harold Hill,256,Harold Hill,354,Romford,2,2,2,1,333,1,01-01-2019 23:22
000665-01012019,01-Jan-19,2019,23:29:17,23,Fire,Primary Fire,,Non Residential,Private garage ,On land associated with building,,IG11,0,19900721,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000032,GASCOIGNE,GASCOIGNE,,,544450,183750,,,London,Barking,340,Barking,,,1,1,1,1,333,1,01-01-2019 23:29
000672-01012019,01-Jan-19,2019,23:41:59,23,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,Correct incident location,SE1 0DQ,SE1,10013527116,22502285,E09000028,SOUTHWARK,Southwark,E05011095,BOROUGH & BANKSIDE,BOROUGH & BANKSIDE,532004,179632,532050,179650,51.500221,-0.0996093,London,Dowgate,224,Dowgate,,,1,1,1,1,333,2,01-01-2019 23:41
000674-01012019,01-Jan-19,2019,23:49:26,23,Fire,Primary Fire,,Non Residential,Single shop ,Correct incident location,NW10 8SE,NW10,202110871,20200219,E09000005,BRENT,Brent,E05000091,HARLESDEN,HARLESDEN,521477,183575,521450,183550,51.5380165,-0.2498343,London,Park Royal,312,Park Royal,316,Willesden,2,2,8,23,7659,4,01-01-2019 23:49
